Video Id,Video Title,Channel Id,Video Tags,Channel Title
XfHV3FHwMI8,"SHOCKING FILIPINO BIRTHDAY FOOD | Pinikpikan in Sagada, Philippines",UC_DmOS_FBvO4H27U7X0OtRg,"['filipino food', 'street food', 'philippines travel', 'hanging coffins', 'etag', 'etag sagada', 'pinikpikan', 'igorot', 'ifugao', 'sagada', 'philippines', 'filipino', 'travel', 'manila', 'travel vlog', 'pinoy', 'philippines travel vlog', 'food', 'delicious', 'tasty', 'vlog', 'philippines vlog', 'travel philippines', 'kalinga', 'foreigner in the philippines', 'vlogger', '2018', 'etag igorot food', 'shocking', 'cordillera', 'fearless and far', 'mike corey', 'travel vlogger', 'travel video', 'filipino street food', 'filipino birthday']",Fearless & Far
Ss4sYHi7XZg,FIRST DAY IN BASILAN MINDANAO PHILIPPINES Travel Vlog,UC_DmOS_FBvO4H27U7X0OtRg,"['philippines', 'philippines travel vlog', 'filipino travel vlog', 'basilan', 'mindanao', 'mindanao travel', 'filipino', 'philippines vlog', 'the philippines', 'foreigner in the philippines', 'philippines travel', 'travel vlog', 'becoming filipino', 'travel vlogger', 'fearless and far', 'kulas', 'mindanao philippines', 'cagayan de oro', 'mike corey', 'philippine vlog', 'life in the philippines', 'travel philippines', 'vlog', 'travel', '2018']",Fearless & Far
lPCnUCvh-pg,ONLY in the Philippines! SUNKEN CEMETERY | Camiguin Island vlog 2018,UC_DmOS_FBvO4H27U7X0OtRg,"['philippines', 'philippines travel vlog', '2018', 'camiguin', 'camiguin island', 'camiguin island vlog', 'finnsnow', 'cagayan de oro', 'travel vlogger', 'mike corey', 'cdo', 'fearless and far', 'finn snow', 'philippines vlog', 'bret maverick', 'becoming filipino', 'travel philippines', 'fighter boys', 'kulas', 'mindanao philippines', 'vlogger', 'camiguin island philippines', 'foreigner in the philippines', 'philippines travel', 'travel', 'travel vlog', 'vlog', 'daniel marsh', 'mindanao', 'SCUBA', 'scuba diving']",Fearless & Far
Pcv_bImJR3s,Top 10 places you MISSED in the Philippines | Travel Vlog 2019,UC_DmOS_FBvO4H27U7X0OtRg,"['philippines travel', 'travel philippines', 'top 10', 'philippines vlog', 'dream destination', 'top 10 places', 'top 10 philippines', 'el nido', 'palawan', 'el nido palawan', 'nacpan beach', 'el nido philippines', 'coron', 'island hopping', 'palawan philippines', 'kayangan lake', 'coron philippines', 'fearless and far', 'twin lagoon', 'mike corey', 'coron palawan', 'coron island', 'whang od', 'kalinga', 'foreigner in the philippines', 'hanging coffins', 'sagada', 'camiguin', 'waterfall', 'kalinga tattoo', 'siargao']",Fearless & Far
Ivn4-GzrETM,WHANG OD Tattoo... GONE WILD? 😮Kalinga Tattoo Philippines travel vlog 2018,UC_DmOS_FBvO4H27U7X0OtRg,"['whang od', 'kalinga', 'kalinga tattoo', 'buscalan', 'vlog', 'philippines', 'travel vlog', 'philippines vlog', 'tattoo', 'apo whang od', 'traditional tattoo', 'philippines travel vlog', 'philippines travel', 'wang od', 'whang-od', 'travel vlogger', 'filipino', 'ink', 'adventure', 'mambabatok', 'travel', 'luzon', 'tribe', 'batok', 'manila', 'tattoos', 'whang od tattoo', 'vlogger', 'the philippines', 'travel philippines', 'manila philippines', 'documentary', 'finn snow', 'tribal', 'fearless and far', 'mike corey', '2018']",Fearless & Far
p9vyz_HYKZM,"UNSEEN HANGING COFFINS (First YouTube Footage) 💀Sagada, Philippines",UC_DmOS_FBvO4H27U7X0OtRg,"['sagada', 'hanging coffins', 'hanging coffins in sagada', 'foreigner in the philippines', 'north luzon', 'luzon', 'mountain province', 'baguio', 'news', 'province', 'philippines', 'baguio city', 'travel vlog', 'mummies', 'cordillera', 'china', 'echo valley', 'igorot', 'philippines vlog', 'vlogger', 'sagada philippines', 'vlogger philippines', 'philippines travel', 'northern luzon', 'found']",Fearless & Far
sLG4lh63BLA,FINAL THOUGHTS of BASILAN | Mindanao Philippines Travel Vlog,UC_DmOS_FBvO4H27U7X0OtRg,"['basilan', 'basilan philippines', 'philippines', 'philippines travel vlog', 'filipino travel vlog', 'cotabato city', 'cotabato city philippines', 'cotabato', 'mindanao', 'mindanao travel', 'filipino', 'philippines vlog', 'the philippines', 'philippines travel', 'travel vlog', 'becoming filipino', 'travel vlogger', 'fearless and far', 'kulas', 'mindanao philippines', 'mike corey', 'travel philippines', 'vlog', 'travel', 'vlogger', 'culture', 'philippines culture', 'philippine vlog']",Fearless & Far
slOnKFQc__Y,CORON PALAWAN ( Free diving & Island hopping) Philippines travel vlog,UC_DmOS_FBvO4H27U7X0OtRg,"['coron', 'coron island', 'coron palawan', 'philippines', 'palawan', 'island hopping', 'vlog', 'travel', 'palawan philippines', 'kayangan lake', 'travel vlog', 'coron philippines', 'island', 'paradise', 'philippines vlog', 'travel southeast asia', 'kayangan', 'the philippines', 'twin lagoon', 'coron island hopping', 'travel vlogger', 'coron palawan philippines', 'el nido', 'filipino', 'most beautiful place in the world', 'mike corey', 'fearless and far', 'exploring with cody', 'barracuda lake', 'skeleton wreck', 'best places to travel']",Fearless & Far
pyUP952W988,Filipina British Life in UK: Nag-message si ex?Ang reaction ni mister!,UC3PVtkwtqwCD4LEPguBEADA,"['Filipina British', 'Life in UK', 'Filipina', 'Biritish', 'Nag-message si ex', 'Ang reaction ni mister', 'Nag-message si ex?Ang reaction ni mister!', 'Filipina British Life in UK', 'Filipina British Life in UK: Nag-message si ex?Ang reaction ni mister!', 'mister', 'ex boyfriend', 'Filipina inUK', 'pinay in UK', 'UK', 'filipina wife', 'british husband', 'reaction nya', 'nagtext si ex', 'anfisa', 'tlc', 'pinay vlogger', 'british filipina', 'ms alex gonzaga', 'uk vlogs', 'MISTER', 'simply rhaze', 'michelle dy', 'jamill', 'ronan na naman']",Mia Sandoval
vJs4hZVbcEs,Filipina British Life in UK: Pros and Cons Marrying Filipina,UC3PVtkwtqwCD4LEPguBEADA,"['Filipina British Life in UK', 'Pros and Cons Marrying Filipina', 'Pros and Cons', 'Marrying Filipina', 'Life in UK', 'Filipina British', 'Filipina', 'British', 'Pros', 'Cons', 'pinay', 'life vlog', 'daily vlogs', 'vlogging pinoy', 'pinay vlogger', 'filipina youtuber', 'age gap', 'relatioship', 'Filipina British Life in UK: Pros and Cons Marrying Filipina', 'uk vlogs', 'ofw', 'marrying filipino', 'anneclutzvlogs', 'anfisa', 'tlc', 'british husband tell all about it', 'foreigner marrying filipina', 'pros and cons marrying asian', 'asian', 'women']",Mia Sandoval
xayG_VtzUIE,FilipinaBritish Life:MAY PA DATE AT PA SURPRISE SI MISTER!Mia Sandoval,UC3PVtkwtqwCD4LEPguBEADA,"['MAY PA SURPRISE SI MISTER!', 'Mia Sandoval', 'Filipina British', 'Filipina', 'British', 'British Life', 'Filipina Life', 'Filipino vlogger', 'mia sandoval latest vlog', 'lastest vlog', 'latest', 'vlog', 'filipino gold diggger', 'gold digger', 'recommended', 'simply rhaze', 'anne paris', 'mcqueens', 'FilipinaBritish Life:MAY PA DATE AT PA SURPRISE SI MISTER!Mia Sandoval', 'MAY PA DATE', 'PA SURPRISE SI MISTER', 'MAY PA DATE AT PA SURPRISE SI MISTER', 'MAY', 'PA', 'DATE', 'AT', 'SURPRISE', 'SI', 'MISTER', 'mister', 'tagalog vlog', 'FilipinaBrtitish']",Mia Sandoval
R83eEaGON9A,Age Gap Couple:My Young Filipina Wife is Gold Digger?🤑 |Mia Sandoval,UC3PVtkwtqwCD4LEPguBEADA,"['gold digger 90 day fiance', 'Age Gap Couple', 'Mia Sandoval', 'Age Gap', 'Age', 'Gap', 'Couple', 'age couple', 'My', 'Filipina', 'Wife', 'Age Gap Couple: My Filipina Wife is Gold Digger?!!🤑 |Mia Sandoval', 'Gold', 'Digger', 'tlc', 'reality tv', 'money', 'gold', 'pinay gold digger', 'filipina wife gold digger', 'filipina 90 day fiance', 'wife is gold digger', 'my filipina', 'filipina', 'anfisa nava', 'infinite lists', 'family friendly', 'god is good', 'young filipina wife', 'Age Gap Couple:My Young Filipina Wife is Gold Digger?🤑 |Mia Sandoval']",Mia Sandoval
GCrIWEB4bcc,British Husband Tries Filipino Snacks + Okay ka lang mister!?😱,UC3PVtkwtqwCD4LEPguBEADA,"['British Husband Tries Filipino Snacks + Okay ka lang mister!?😱', 'British Husband', 'Tries Filipino Snacks', 'British Husband Tries Filipino Snacks', 'Okay ka lang mister!?😱', 'Okay ka lang', 'mister', 'philippines', 'filipino food', 'filipino', 'filipino snacks', 'snacks', 'candy', 'trying filipino snacks', 'comedy', 'lol', 'weird', 'eating', 'british', 'husband', 'tries', 'okay', 'ka', 'lang', 'food', 'sweets', 'humor', 'oishi', 'british tries', 'trying food', 'hilarious', 'comedian', 'haha', 'people', 'fail', 'gone wrong', 'licking']",Mia Sandoval
NMuU2Tv-Oi4,Filipina British Life in UK: Nakakainis kana talaga!😤,UC3PVtkwtqwCD4LEPguBEADA,"['Filipina British', 'Life in UK', 'NAKAKAINIS SI MISTER', 'Filipina British Life in UK: NAKAKAINIS SI MISTER😤', 'Filipina', 'British', 'Filipina in UK', 'pinay in uk', 'Filipina wife', 'UK Vlogs', 'MISTER', 'NAKAKAINIS', 'nakakainis si mister', 'Filipina Life in UK', 'SI MISTER', 'British Life in UK', 'simply rhaze', 'anfisa', 'UK', 'mary ann reality tv', 'jamill', '100000', 'amy talaboc', 'interracial love', 'filipina british', 'british filipina', 'filipino british couple', 'ofw vlog', 'ofw', 'filipina life', 'top']",Mia Sandoval
g7H5W79J3fc,Filipina British Life: Why did I choose to marry a foreigner?🤔,UC3PVtkwtqwCD4LEPguBEADA,"['Filipina British Life: Why did I choose to marry a foreigner?🤔', 'Filipina British Life', 'Why did I choose to marry a foreigner?', 'Filipina', 'British', 'Life', 'Filipina life', 'British Life', 'Filipina wife', 'filipina gold digger', 'gold digger', 'pinay', 'gold', 'digger', 'filipina', 'british', 'filipinobritish', 'filipino', 'living', 'in', 'uk', 'philippines', 'united', 'kingdom', 'reality', 'mia sandoval latest vlog', 'latest', 'vlog', 'latest vlog', 'funny', 'mia sandoval', 'uk vlog', 'why', 'did', 'you', 'choose', 'to', 'marry', 'foreingner', 'marry a foreigner']",Mia Sandoval
7jDrzdX2Ucc,Approve ba ako sa anak at mama ni mister?🤔Mia Sandoval,UC3PVtkwtqwCD4LEPguBEADA,"['Approved ba ako sa anak at mama ni mister?🤔Mia Sandoval', 'Approved ba ako sa anak at mama ni mister?', 'Mia Sandoval', 'Approved ba ako', 'sa anak', 'mama ni mister', 'Approve', 'ba', 'ako', 'sa', 'anak', 'at', 'mama', 'ni', 'mister', 'sa mama', 'mia sandoval latest vlog', 'latest vlog', 'pinay', 'filipina', 'filipino', 'gold digger', 'reality', 'age gap love', 'british', 'husband', 'filipina wife', 'filipinobritish', 'mcqueens', 'christian merck grey', 'jamill tv', 'tagalog', 'english', 'england', 'united', 'kingdom', 'funny', 'comedy', 'prank']",Mia Sandoval
klMo0d2-VOs,Filipina British AGE GAP COUPLE: WHO'S MORE LIKELY TO CHALLENGE,UC3PVtkwtqwCD4LEPguBEADA,"['Filipina', 'British', 'Filipina British Life in UK', 'Life in UK', ""WHO'S MORE LIKELY TO CHALLENGE"", 'AGE GAP', 'AGE GAP COUPLE', 'age', 'gap', 'couple', ""WHO'S MORE LIKELY TO"", 'CHALLENGE', 'anfisa', 'anneclutzvlogs', 'angel dei', 'tlc 90 day fiance', 'Filipina in UK', 'Filipina wife', 'pinay in uk', 'vlogging pinoy', 'daily vlogs', 'filipina vlogger', 'funny vlog', 'age gap relationships', 'age gap couple', 'Filipina British AGE GAP', 'Filipina British', 'Filipina British Couple', 'mary ann reality tv', 'british filipina couple']",Mia Sandoval
4cCKve0dl3Y,Filipina British Life in UK:RAMDAM KO ANG LUNGKOT PAG WALA SI MISTER😭,UC3PVtkwtqwCD4LEPguBEADA,"['Filipina British Life in UK:RAMDAM KO ANG LUNGKOT PAG WALA SI MISTER😭', 'Filipina British Life in UK', 'RAMDAM KO ANG LUNGKOT PAG WALA SI MISTER', 'Filipina British', 'Filipina', 'British', 'Life in UK', 'Life', 'in', 'UK', 'RAMDAM KO', 'ANG LUNGKOT PAG WALA SI MISTER', 'RAMDAM', 'KO', 'ANG', 'LUNGKOT', 'PAG', 'WALA', 'SI', 'MISTER', 'SI MISTER', 'ANG LUNGKOT', 'mia sandoval', 'filipina wife', 'ldr filipina british', 'filipina in uk', 'pinay in uk', 'piay wife', 'pinay issues', 'family', 'friendly', 'love', 'money', 'british filipina', 'fun', 'funny', 'comedy', 'reality']",Mia Sandoval
fGHZBpxJkrw,Filipina British Life in UK: AGE GAP PROBLEMS!,UC3PVtkwtqwCD4LEPguBEADA,"['Filipina British', 'Life in UK', 'Filipina British Life in UK', 'AGE GAP PROBLEMS', 'AGE GAP', 'British Filipina', 'Filipina in UK', 'pinay in uk', 'UK', 'uk vlogs', 'filipina wife', 'age gap couple', 'age gap relationships', 'simply rhaze', 'pinay vlogger', 'jamill', 'filipina life in uk', 'problems', 'age', 'gap', 'Filipina', 'British', 'age gap issue', 'relationship problems', 'filipina british couple', 'british filipina couple', 'Filipina British Life in UK: AGE GAP PROBLEMS!']",Mia Sandoval
y-cb3qVBDb8,Filipina British Age Gap Couple: OUR UK SPOUSE VISA EXPERIENCE,UC3PVtkwtqwCD4LEPguBEADA,"['Filipina British', 'Age Gap Couple', 'Age Gap', 'Filipina British Age Gap Couple', 'Filipina', 'British', 'Age', 'Gap', 'age gap relationships', 'UK SPOUSE VISA EXPERIENCE', 'OUR UK SPOUSE VISA EXPERIENCE', 'Filipina British Age Gap Couple: OUR UK SPOUSE VISA EXPERIENCE', 'UK SPOUSE VISA', 'spouse visa uk', 'spouse visa experience', 'uk visa', 'how to apply uk spouse visa', 'ja mill', 'tlc 90 day fiance', 'anneclutzvlogs', 'spouse experience', 'spouse', 'visa']",Mia Sandoval
ZB1JAWYtIbg,Filipina British Life in UK: ANG SAYA! NAKAUSAP KO SI IDOL😁,UC3PVtkwtqwCD4LEPguBEADA,"['Filipina British Life in UK: ANG SAYA! NAKAUSAP KO SI IDOL😁', 'Filipina British Life in UK', 'ANG SAYA! NAKAUSAP KO SI IDOL', 'ANG SAYA', 'NAKAUSAP KO SI IDOL', 'Life in UK', 'Filipina British', 'Filipina', 'British', 'Filipina in uk', 'pinay in uk', 'mary ann reality tv', 'lodi ko', 'british filipina', 'pinay', 'pinay vlogger', 'anfisa', 'anneclutzvlogs', 'tlc', 'ang saya ko', 'uk life', 'filipina life', 'filipina wife', 'ofw', 'ofw vlog', 'daily vlogs', 'vlogging pinoy']",Mia Sandoval
U0zW0mBu_p0,Filipina British Life in UK: ANG GANDA NG UMAALIGID KAY MISTER!,UC3PVtkwtqwCD4LEPguBEADA,"['Filipina British Life in UK', 'Filipina British', 'Life in UK', 'UMAALIGID KAY MISTER', 'MISTER', 'UMAALIGID', 'Filipina', 'British', 'filipina wife', 'pinay wife', 'Filipina in UK', 'pinay in uk', 'british filipina', 'bulgaria', 'belly dancing', 'baninay bautista', 'money and filipina', 'ANG GANDA NG UMAALIGID KAY MISTER', 'ANG GANDA', 'Filipina British Life in UK: ANG GANDA NG UMAALIGID KAY MISTER!', 'ofw vlog', 'pinay vlogger', 'daily vlogs', 'ang ganda ganda ko', 'british filipino']",Mia Sandoval
coIXi26Ktk8,AGE GAP LOVE:WEDDING ANNIVERSARY | NAG DATE  + BAGSAK SI MISIS!,UC3PVtkwtqwCD4LEPguBEADA,"['Filipina British Life UK: WEDDING ANNIVERSARY+ BAGSAK SI MISIS!', 'Filipina British Life UK', 'WEDDING ANNIVERSARY', 'BAGSAK SI MISIS', 'wedding', 'anniversary', 'marriage', 'WEDDING ANNIVERSARY WISHES', 'Filipna', 'British', 'Filipina British', 'Life', 'in', 'UK', 'Life in UK', 'Life UK', 'UK life', 'BAGSAK', 'SI', 'MISIS', 'WEDDING ANNIVERSARY+ BAGSAK SI MISIS!', 'NAG DATE', 'NAG', 'DATE', 'MAG', 'ASAWA', 'MAG ASAWA TIME', 'NAG DATE + BAGSAK SI MISIS!', 'age gap', 'age difference', 'older men', 'AGE', 'GAP', 'LOVE', 'age gap love']",Mia Sandoval
f_zPPqUdWCg,Filipina British: KAYA BA NAMING MAG ASAWA |MISTER AT MISIS CHALLENGE,UC3PVtkwtqwCD4LEPguBEADA,"['Filipina British: KAYA BA NAMING MAG ASAWA |MISTER AT MISIS CHALLENGE', 'Filipina British', 'KAYA BA NAMING MAG ASAWA', 'MISTER AT MISIS CHALLENGE', 'KAYA BA NAMING MAG ASAWA |MISTER AT MISIS CHALLENGE', 'Filipina', 'British', 'KAYA', 'BA', 'NAMING', 'MAG', 'ASAWA', 'MISTER', 'AT', 'MISIS', 'CHALLENGE', 'mag asawa', 'MAG ASAWA TIME', 'MAG ASAWA', 'MISTER AT MISIS', 'mister at misis', 'mag asawa time', 'anne paris', 'anneclutzvlogs', 'simply rhaze', 'KAYA BA', 'filipina british', 'filipina wife', 'british husband', 'husband and wife', 'mia']",Mia Sandoval
Fi8gTif6kpE,Filipina British Life in UK: KULITAN NAMING MAG ASAWA|Mia Sandoval,UC3PVtkwtqwCD4LEPguBEADA,"['Filipina British', 'Life in UK', 'Mia Sandoval', 'Filipina', 'Filipina wife', 'British', 'british husband', 'Life', 'in', 'UK', 'NAMING', 'MAG', 'ASAWA', 'MAG ASAWA', 'ASAWA LIFE', 'ASAWA TIME', 'MAG ASAWA TIME', 'simply rhaze', 'anne paris', 'mcqueens', 'pinay', 'vlogging pinoy', 'tagalog', 'bisaya vlog', 'ofw', 'ldr', 'Filipina British Life in UK: KULITAN NAMING MAG ASAWA|Mia Sandoval', 'KULITAN NAMING MAG ASAWA|', 'KULITAN', 'mag asawa', 'kulitan']",Mia Sandoval
CVx_BaMGkZk,Filipina British Life in UK: Ang tinatagong talento ni mister! 👨‍🍳,UC3PVtkwtqwCD4LEPguBEADA,"['Filipina British Life in UK: Ang tinatagong talento ni mister! 👨\u200d🍳', 'Filipina British Life in UK', 'Ang tinatagong talento ni mister!', 'Filipina British', 'Life in UK', 'Filipina', 'British', 'Life', 'in', 'UK', 'Ang', 'tinatagong', 'talento', 'ni', 'mister', 'hidden talent ni mister', 'si mister', 'christian merck grey', 'brusko bros', 'god', 'ang tinatago', 'simply rhaze', 'mia sandoval', 'mia maples', 'tlc 90 day fiance', 'anfisa nava', 'jamill couple', 'filipina', 'british filipina', 'pinay wife issue']",Mia Sandoval
doapxNsSkrY,Filipina British Life in UK: WALANG TIGIL TRABAHO PARIN SI MISIS!💪,UC3PVtkwtqwCD4LEPguBEADA,"['Filipina British Life in UK: WALANG TIGIL TRABAHO PARIN SI MISIS!💪', 'WALANG TIGIL TRABAHO PARIN SI MISIS!', 'Filipina British Life in UK', 'WALANG TIGIL', 'TRABAHO PARIN', 'SI MISIS', 'TRABAHO PARIN SI MISIS', 'Filipina', 'British', 'Life', 'in', 'UK', 'Filipina British', 'Life in UK', 'british filipina', 'filipina wife', 'ofw wife', 'WALANG', 'TIGIL', 'TRABAHO', 'PARIN', 'SI', 'MISIS', 'misis sa abroad', 'misis', 'pinay in uk', 'bisaya vlog', 'simply rhaze', 'pinay vlogger', 'vlogging pinoy', 'reality', 'tv', 'god is good']",Mia Sandoval
Idmu78v5TeE,Filipina British Life in UK:GALA SA SEMENTERYO+ MAY MULTO DITO!,UC3PVtkwtqwCD4LEPguBEADA,"['Filipina British Life in UK:GALA SA SEMENTERYO+ BAKA MAY MULTO DITO!', 'Filipina British Life in UK', 'GALA SA SEMENTERYO', 'BAKA MAY MULTO DITO', 'GALA SA SEMENTERYO+ BAKA MAY MULTO DITO!', 'Filipina British Life in UK:GALA SA SEMENTERYO', 'Filipina British', 'Life in UK', 'Filipina', 'British', 'Life', 'in', 'UK', 'GALA', 'SA', 'SEMENTERYO', 'BAKA', 'MAY', 'MULTO', 'DITO', 'MAY MULTO DITO', 'MAY MULTO', 'SA SEMENTERYO', 'BAKA MULTO', 'pinoy', 'pinay', 'gma', 'multo sa sementeryo', 'haha', 'funny', 'ghost', 'spooky', 'mia', 'maples']",Mia Sandoval
5OsH70IAD1A,Filipina British Couple: BUHAY LDR+ NAG VLOG SI MISTER |Mia Sandoval,UC3PVtkwtqwCD4LEPguBEADA,"['Mia Sandoval', 'Mia Maples', 'Filipina British', 'Life in UK', 'Filipina', 'British', 'Life', 'in', 'UK', 'Buhay', 'LDR', 'OFW', 'pinay', 'english', 'filipina british couple', 'long distance relationship filipino and british', 'relationship', 'couple', 'family', 'friendly', 'kakayanin ko ba', 'love', 'long distance relationship', 'gf', 'bf', 'husband', 'wife', 'ldr problems', 'ldr', 'Filipina British Couple: BUHAY LDR+ NAG VLOG SI MISTER |Mia Sandoval', 'NAG VLOG SI MISTER', 'nag vlog si mister', 'anne paris', 'simply rhaze', 'SI MISTER', 'mister', 'vlog', 'god is good']",Mia Sandoval
6TiMvS0rE2I,Filipina British Life in UK: Birthday ni Biyenan |Mia Sandoval,UC3PVtkwtqwCD4LEPguBEADA,"['Filipina British Life in UK: Birthday ni Biyenan |Mia Sandoval', 'Birthday ni Biyenan', 'Mia Sandoval', 'Biyenan kong mamaw', 'Biyenan', 'gma network', 'raffy tulfo in action', '(MadamKilay) AND BIYENAN!', 'AND BIYENAN', 'birthday', 'ni biyenan', 'Filipina', 'British', 'Life', 'in', 'UK', 'Birthday', 'kaarawan', 'ni', 'Mia', 'Sandoval', 'british filipina', 'filipina wife', 'pinay in uk', 'madam kilay', 'vlogging pinoy', 'daily vlogs', 'biyenan raffy tulfo', 'biyenan dinala sa mental', 'simply rhaze', 'ugali ni biyenan', 'cong tv']",Mia Sandoval
JyuDpnjCK_U,Filipina British Life: ITS COMPLICATED + LIFE UPDATE,UC3PVtkwtqwCD4LEPguBEADA,"['Filipina British Life: ITS COMPLICATED + LIFE UPDATE', 'Filipina British Life', 'ITS COMPLICATED', 'LIFE UPDATE', 'ITS COMPLICATED + LIFE UPDATE', 'Filipina', 'British', 'Life', 'ITS', 'COMPLICATED', 'LIFE', 'UPDATE', 'british', 'filipino', 'britishfilipino', 'filipina wife', 'wife', 'husband', 'in', 'uk', 'england', 'philippines', 'united', 'kingdom', 'mia sandoval latest vlog', 'mia sandoval', 'british filipina', 'asawa life', 'ofw life', 'ofw vlog', 'vlog', 'haha', 'reality videos', 'reality', 'gold digger', 'gold digger 90 day fiance', 'filipina gold digger', 'latest']",Mia Sandoval
7pD0XOWc5nU,Filipina British Life: May kalokohan si misis + Cute kaya binili 😁,UC3PVtkwtqwCD4LEPguBEADA,"['Filipina British', 'British Life', 'Filipina life', 'Filipina', 'British', 'Life', 'misis', 'si misis', 'cute', 'cute kasi', 'kaya', 'binili', 'mia sandoval', 'british', 'filipino', 'britishfilipino', 'filipina', 'wife', 'husband', 'foreingner', 'living', 'in', 'uk', 'vlog', 'philippines', 'united', 'kingdom', 'family', 'couple', 'Filipina British Life: May kalokohan si misis + Cute kaya binili 😁', 'May kalokohan si misis', 'may', 'kalokohan', 'si', 'kalokohan ni misis', 'ni misis']",Mia Sandoval
