Topic,Topic Name,Label,Video Count
101,Topic 101: Korean Presence and Community in Mindanao,Topic 101: Korean Presence and Community in Mindanao,33
102,Topic 102: Friendships,Topic 102: Friendships,51
103,"Topic 103: Mixture of Subjects: Jungle, Food, and Pop Culture","Topic 103: Mixture of Subjects: Jungle, Food, and Pop Culture",56
104,Topic 104: Singing of Songs,Topic 104: Singing of Songs,71
105,Topic 105: Unclear Repeated Terms,Topic 105: Unclear Repeated Terms,50
106,Topic 106: Chocolate Hills in Bohol,Topic 106: Chocolate Hills in Bohol,60
107,Topic 107: Unclear Repeated Terms,Topic 107: Unclear Repeated Terms,31
108,Topic 108: Recruiting Scout Rangers,Topic 108: Recruiting Scout Rangers,18
109,Topic 109: Mango Fruit,Topic 109: Mango Fruit,63
110,Topic 110: Experiencing Culture Shock,Topic 110: Experiencing Culture Shock,51
111,Topic 111: Urban Legends and its Variations,Topic 111: Urban Legends and its Variations,38
112,Topic 112: Cheap Transportation while Travelling,Topic 112: Cheap Transportation while Travelling,22
113,Topic 113: Luxury Cars in BGC,Topic 113: Luxury Cars in BGC,48
114,"Topic 114: Specific Venues: Circle Hall, Hobbit House, and Themed Spots","Topic 114: Specific Venues: Circle Hall, Hobbit House, and Themed Spots",51
115,Topic 115: Bicycle & Tricycle Rental,Topic 115: Bicycle & Tricycle Rental,59
116,Topic 116: Chicken & its Specific Related Dishes,Topic 116: Chicken & its Specific Related Dishes,41
117,Topic 117: Filipino Phrases,Topic 117: Filipino Phrases,48
118,Topic 118: Mommy and Baby's Morning Events,Topic 118: Mommy and Baby's Morning Events,63
119,Topic 119: Common Filipino Dishes,Topic 119: Common Filipino Dishes,27
120,Topic 120: Winning Games and Excitement,Topic 120: Winning Games and Excitement,82
